Dataset,CNNProto,Train_Size,HC2,MultiROCKET,InceptionTime,ResNet,1-NN-DTW,TS-CHIEF,CNNProto_Rank,HC2_Rank,MultiROCKET_Rank,InceptionTime_Rank,ResNet_Rank,TS-CHIEF_Rank,1-NN-DTW_Rank
Adiac,0.4348,390,0.8542,0.8465,0.8363,0.8082,0.6036,0.8517,7.0,1.0,3.0,4.0,5.0,2.0,6.0
Car,0.75,60,0.9167,0.9,0.8833,0.85,0.7333,0.9167,6.0,1.5,3.0,4.0,5.0,1.5,7.0
Chinatown,0.9592,20,0.9825,0.9825,0.9825,0.9796,0.9534,0.9767,6.0,2.0,2.0,2.0,4.0,5.0,7.0
Coffee,0.8929,28,1.0,1.0,0.9643,0.9643,1.0,1.0,7.0,2.5,2.5,5.5,5.5,2.5,2.5
FaceAll,0.9314,560,0.9621,0.8521,0.8142,0.78,0.7136,0.9509,3.0,1.0,4.0,5.0,6.0,2.0,7.0
FordA,0.9402,3601,0.9682,0.9492,0.9614,0.925,0.6591,0.9455,5.0,1.0,3.0,2.0,6.0,4.0,7.0
GunPoint,0.9467,50,1.0,1.0,0.9867,0.9867,0.9133,1.0,6.0,2.0,2.0,4.5,4.5,2.0,7.0
Ham,0.6381,109,0.8286,0.7619,0.7333,0.69,0.4667,0.7905,6.0,1.0,3.0,4.0,5.0,2.0,7.0
Meat,0.55,60,0.9833,0.9333,0.95,0.9333,0.9333,0.9667,7.0,1.0,5.0,3.0,5.0,2.0,5.0
OliveOil,0.4,30,0.9333,0.9,0.8667,0.8333,0.8333,0.9,7.0,1.0,2.5,4.0,5.5,2.5,5.5
Plane,0.9905,105,1.0,1.0,1.0,1.0,1.0,1.0,7.0,3.5,3.5,3.5,3.5,3.5,3.5
Rock,0.58,20,0.76,0.74,0.72,0.7,0.62,0.76,7.0,1.5,3.0,4.0,5.0,1.5,6.0
